Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S1789,Mouse86,WT,Spleen,Ifng,22.5,1,2026-03-18,False
S0913,Mouse44,KO,Spleen,Cd4,20.26,1,2026-03-11,False
S1248,Mouse60,HET,Thymus,Foxp3,25.81,3,2026-03-01,False
S1241,Mouse60,HET,Thymus,Il2,23.34,2,2026-01-03,False
S1512,Mouse72,KO,Thymus,Gapdh,18.1,3,2026-03-28,False
S1343,Mouse64,WT,Lymph Node,Gapdh,17.48,2,2026-04-07,False
S1835,Mouse88,KO,Thymus,Foxp3,24.91,2,2026-01-04,False
S1739,Mouse83,KO,Thymus,Tnfa,23.31,2,2026-03-23,False
S1776 ,Mouse85,KO,Thymus,Cd4,19.89,3,2026-04-03,False
S0049,Mouse3,HET,Thymus,Foxp3,25.32,1,2026-03-04,False
S1331,Mouse64,WT,Lymph Node,Foxp3,26.07,2,2026-07-04,False
S1759,Mouse84,KO,Spleen,Tnfa,22.55,1,2026-04-02,False
S0468,Mouse23,KO,Spleen,Ifng,21.15,3,2026-04-29,False
s0154,Mouse8,WT,Thymus,Foxp3,33.73,1,2026-04-08,False
S1777,Mouse85,KO,Thymus,Cd8a,20.53,1,2026-04-03,False
S0395,Mouse19,KO,Lymph Node,Tnfa,22.08,2,2026-03-11,False
S0124,Mouse6,HET,Thymus,Gapdh,17.66,1,2026-03-22,False
S0356,Mouse17,WT,Spleen,Gapdh,18.03,2,2026-10-03,False
S0135 ,Mouse7,WT,Lymph Node,Foxp3,25.77,3,2026-10-04,False
S0269,Mouse13,WT,Thymus,Tnfa,23.07,2,2026-06-03,False
S0386,Mouse19,KO,Lymph Node,Foxp3,29.53,2,2026-03-11,False
S0610,Mouse30,HET,Spleen,Il2,23.92,1,2026-03-10,False
S0221,Mouse11,KO,Lymph Node,Cd4,19.57,2,2026-04-17,False
S0042,Mouse2,WT,Spleen,Gapdh,18.53,3,2026-04-02,False
S0220,Mouse11,KO,Lymph Node,Cd4,19.35,1,2026-04-17,False
S0598,Mouse29,WT,Spleen,Cd4,20.08,1,2026-04-28,False
S_1197,Mouse57,WT,Thymus,Gapdh,18.58,3,2026-04-13,False
S1681,Mouse81,WT,Spleen,Il2,24.62,1,2026-03-20,False
S_681,Mouse33,HET,Spleen,Foxp3,26.55,3,2026-03-17,False
S1028,Mouse49,HET,Thymus,Gapdh,18.7,2,2026-04-17,False
S1806,Mouse86,WT,Spleen,Gapdh,17.9,3,2026-03-18,False
S1304,Mouse63,KO,Spleen,Il2,27.3,2,2026-12-04,False
S0542 ,Mouse26,WT,Lymph Node,Tnfa,,2,2026-04-05,True
S1741 ,Mouse83,KO,Thymus,Gapdh,17.92,1,2026-03-23,False
S0757,Mouse37,HET,Spleen,Il2,23.96,1,2026-03-03,False
S0934,Mouse45,KO,Thymus,Cd4,20.27,1,2026-03-15,False
S1783,Mouse85,KO,Thymus,Gapdh,17.99,1,2026-04-03,False
s1432,Mouse69,WT,Lymph Node,Ifng,22.05,1,2026-04-02,False
S0821 ,Mouse40,WT,Spleen,Il2,23.33,2,2026-03-11,False
S1229,Mouse59,WT,Thymus,Cd4,20.33,2,2026-03-24,False
S1414,Mouse68,HET,Thymus,Foxp3,25.92,1,2026-04-20,False
S1498,Mouse72,KO,Thymus,Foxp3,25.35,1,2026-03-28,False
S0979,Mouse47,KO,Spleen,Cd8a,21.04,1,2026-04-18,False
S1694,Mouse81,WT,Spleen,Cd8a,21.66,2,2026-03-20,False
S1169,Mouse56,WT,Thymus,Cd8a,21.08,2,2026-04-04,False
S1727,Mouse83,KO,Thymus,Ifng,21.56,2,2026-03-23,False
S1747,Mouse84,KO,Spleen,Ifng,22.05,1,2026-02-04,False
s1733,Mouse83,KO,Thymus,Cd4,,2,2026-03-23,True
S_818,Mouse39,KO,Spleen,Gapdh,17.87,2,2026-04-25,False
S0337,Mouse17,WT,Spleen,Il2,27.1,1,2026-10-03,False
S0233,Mouse12,WT,Thymus,Il2,23.52,2,2026-03-04,False
S0900,Mouse43,WT,Spleen,Tnfa,22.38,3,2026-04-27,False
S1351,Mouse65,WT,Spleen,Foxp3,25.95,1,2026-03-14,False
S0159,Mouse8,WT,Thymus,Cd4,20.46,3,2026-08-04,False
s0469,Mouse23,KO,Spleen,Foxp3,25.61,1,2026-04-29,False
S1166,Mouse56,WT,Thymus,Cd4,20.33,2,2026-04-04,False
S1484 ,Mouse71,KO,Spleen,Cd8a,20.73,2,2026-09-03,False
s1556,Mouse75,HET,Spleen,Il2,24.34,2,2026-10-03,False
S1698 ,Mouse81,WT,Spleen,Tnfa,22.43,3,2026-03-20,False
S0586,Mouse28,KO,Spleen,Gapdh,,1,2026-03-28,True
S0206,Mouse10,WT,Spleen,Tnfa,23.39,2,2026-10-04,False
S0004,Mouse1,KO,Spleen,Ifng,22.91,1,2026-03-15,False
S0790,Mouse38,KO,Thymus,Cd8a,20.74,1,2026-04-18,False
S0880,Mouse42,KO,Thymus,Gapdh,17.76,1,2026-12-04,False
S1071,Mouse51,HET,Spleen,Gapdh,17.92,3,2026-04-29,False
S_1750,Mouse84,KO,Spleen,Foxp3,25.49,1,2026-02-04,False
S1160,Mouse56,WT,Thymus,Ifng,29.96,2,2026-04-04,False
S0985,Mouse47,KO,Spleen,Gapdh,18.63,1,2026-04-18,False
S0694 ,Mouse34,HET,Spleen,Il2,,1,2026-04-08,True
S1589,Mouse76,KO,Thymus,Cd8a,,2,2026-03-17,False
S1570,Mouse75,HET,Spleen,Tnfa,23.09,1,2026-10-03,False
S0715,Mouse35,KO,Lymph Node,Il2,28.47,1,2026-03-30,False
S1769,Mouse85,KO,Thymus,Ifng,22.05,2,2026-03-04,False
S1076,Mouse52,KO,Spleen,Ifng,22.24,2,2026-04-17,False
s1848,Mouse88,KO,Thymus,Gapdh,18.84,3,2026-01-04,False
S1355,Mouse65,WT,Spleen,Cd4,20.17,2,2026-03-14,False
S0986,Mouse47,KO,Spleen,Gapdh,17.68,2,2026-04-18,False
S1126,Mouse54,KO,Thymus,Cd8a,21.92,1,2026-04-28,False
S1424,Mouse68,HET,Thymus,Tnfa,23.35,2,2026-04-20,False
S1740,Mouse83,KO,Thymus,Tnfa,23.82,3,2026-03-23,False
S0158,Mouse8,WT,Thymus,Cd4,19.32,2,2026-04-08,False
S0977 ,Mouse47,KO,Spleen,Cd4,20.84,2,2026-04-18,False
S_524,Mouse25,KO,Thymus,Gapdh,17.32,2,2026-03-21,False
s0463,Mouse23,KO,Spleen,Il2,23.92,1,2026-04-29,False
S0653 ,Mouse32,WT,Lymph Node,Il2,24.75,2,2026-03-05,False
S0161,Mouse8,WT,Thymus,Cd8a,21.25,2,2026-08-04,False
S0306,Mouse15,WT,Thymus,Cd4,19.81,3,2026-03-03,False
S0657,Mouse32,WT,Lymph Node,Ifng,21.16,3,2026-05-03,False
S0548,Mouse27,WT,Spleen,Il2,23.76,2,2026-04-14,False
S0714,Mouse34,HET,Spleen,Gapdh,18.32,3,2026-08-04,False
S0396,Mouse19,KO,Lymph Node,Tnfa,23.77,3,2026-11-03,False
S0784,Mouse38,KO,Thymus,Foxp3,29.31,1,2026-04-18,False
S0400,Mouse20,WT,Spleen,Il2,,1,2026-03-15,False
S0799,Mouse39,KO,Spleen,Il2,23.69,1,2026-04-25,False
s0619,Mouse30,HET,Spleen,Cd4,20.49,1,2026-10-03,False
s1744,Mouse84,KO,Spleen,Il2,24.79,1,2026-02-04,False
S0954,Mouse46,KO,Spleen,Foxp3,24.55,3,2026-03-21,False
S1307,Mouse63,KO,Spleen,Ifng,21.77,2,2026-12-04,False
S0737,Mouse36,KO,Spleen,Il2,26.98,2,2026-03-21,False
S_1019,Mouse49,HET,Thymus,Cd4,20.32,2,2026-04-17,False
S1592,Mouse76,KO,Thymus,Tnfa,22.85,2,2026-03-17,False
S1039,Mouse50,HET,Thymus,Cd4,20.66,1,2026-03-15,False
S0460,Mouse22,WT,Spleen,Gapdh,18.19,1,2026-03-03,False
S0063,Mouse3,HET,Thymus,Gapdh,17.96,3,2026-04-03,False
S1012,Mouse49,HET,Thymus,Ifng,23.2,1,2026-04-17,False
S0868,Mouse42,KO,Thymus,Foxp3,26.67,1,2026-04-12,False
S0458,Mouse22,WT,Spleen,Tnfa,22.85,2,2026-03-03,False
S1278,Mouse61,KO,Spleen,Tnfa,23.28,3,2026-11-03,False
S0479 ,Mouse23,KO,Spleen,Tnfa,22.38,2,2026-04-29,False
S0987,Mouse47,KO,Spleen,Gapdh,18.79,3,2026-04-18,False
S1410,Mouse68,HET,Thymus,Il2,24.16,3,2026-04-20,False
S0791,Mouse38,KO,Thymus,Cd8a,21.87,2,2026-04-18,False
S0618,Mouse30,HET,Spleen,Foxp3,25.01,3,2026-10-03,False
S_1761,Mouse84,KO,Spleen,Tnfa,22.63,3,2026-04-02,False
S0978,Mouse47,KO,Spleen,Cd4,20.55,3,2026-04-18,False
S1873,Mouse90,KO,Thymus,Ifng,22.42,1,2026-03-05,False
s1088,Mouse52,KO,Spleen,Tnfa,23.18,2,2026-04-17,False
S1543,Mouse74,WT,Spleen,Cd4,,1,2026-04-27,True
S0348,Mouse17,WT,Spleen,Cd4,20.05,3,2026-03-10,False
S1643,Mouse79,WT,Thymus,Ifng,22.16,2,2026-03-23,False
S1140,Mouse55,KO,Spleen,Ifng,22.35,3,2026-03-29,False
S1421,Mouse68,HET,Thymus,Cd8a,20.94,2,2026-04-20,False
S0761,Mouse37,HET,Spleen,Ifng,22.23,2,2026-03-03,False
S0447,Mouse22,WT,Spleen,Ifng,21.93,3,2026-03-03,False
S0651,Mouse31,HET,Spleen,Gapdh,,3,2026-06-03,False
s1517,Mouse73,WT,Lymph Node,Ifng,21.88,2,2026-04-14,False
S1705,Mouse82,KO,Thymus,Ifng,22.53,1,2026-03-16,False
S0380,Mouse19,KO,Lymph Node,Il2,28.31,2,2026-11-03,False
S_565,Mouse27,WT,Spleen,Gapdh,18.38,1,2026-04-14,False
S1652,Mouse79,WT,Thymus,Cd8a,19.66,2,2026-03-23,False
S0982,Mouse47,KO,Spleen,Tnfa,23.24,1,2026-04-18,False
S1818,Mouse87,HET,Spleen,Cd4,19.61,3,2026-03-15,False
S0862,Mouse42,KO,Thymus,Il2,24.63,1,2026-04-12,False
S0232,Mouse12,WT,Thymus,Il2,24.51,1,2026-04-03,False
S1153,Mouse55,KO,Spleen,Gapdh,18.91,1,2026-03-29,False
S0383,Mouse19,KO,Lymph Node,Ifng,21.04,2,2026-11-03,False
S1118,Mouse54,KO,Thymus,Ifng,22.93,2,2026-04-28,False
s1815,Mouse87,HET,Spleen,Foxp3,26.04,3,2026-03-15,False
S0073,Mouse4,HET,Lymph Node,Cd4,,1,2026-04-02,True
S0071,Mouse4,HET,Lymph Node,Foxp3,24.43,2,2026-02-04,False
S1579,Mouse76,KO,Thymus,Ifng,,1,2026-03-17,True
S0926,Mouse45,KO,Thymus,Il2,27.65,2,2026-03-15,False
S0172,Mouse9,KO,Spleen,Ifng,22.06,1,2026-04-18,False
S_1403,Mouse67,KO,Lymph Node,Tnfa,22.71,2,2026-06-04,False
s0169,Mouse9,KO,Spleen,Il2,24.73,1,2026-04-18,False
S0494,Mouse24,WT,Thymus,Cd4,19.97,2,2026-04-29,False
S1191 ,Mouse57,WT,Thymus,Cd8a,21.38,3,2026-04-13,False
S_929,Mouse45,KO,Thymus,Ifng,21.25,2,2026-03-15,False
S1674,Mouse80,WT,Spleen,Cd8a,21.31,3,2026-03-24,False
S0273,Mouse13,WT,Thymus,Gapdh,19.28,3,2026-06-03,False
S1233,Mouse59,WT,Thymus,Cd8a,21.1,3,2026-03-24,False
S0421,Mouse21,WT,Thymus,Il2,23.99,1,2026-03-10,False
S0095,Mouse5,KO,Lymph Node,Cd4,20.0,2,2026-04-09,False
S1595,Mouse76,KO,Thymus,Gapdh,18.53,2,2026-03-17,False
S1503,Mouse72,KO,Thymus,Cd4,20.72,3,2026-03-28,False
S1514,Mouse73,WT,Lymph Node,Il2,23.88,2,2026-04-14,False
s0043,Mouse3,HET,Thymus,Il2,23.39,1,2026-04-03,False
S0057,Mouse3,HET,Thymus,Cd8a,20.1,3,2026-03-04,False
S1633,Mouse78,WT,Spleen,Tnfa,23.69,1,2026-04-21,False
S1073,Mouse52,KO,Spleen,Il2,26.24,2,2026-04-17,False
S1115,Mouse54,KO,Thymus,Il2,26.73,2,2026-04-28,False
S1226,Mouse59,WT,Thymus,Foxp3,,2,2026-03-24,True
s1334,Mouse64,WT,Lymph Node,Cd4,19.98,2,2026-07-04,False
S0039,Mouse2,WT,Spleen,Tnfa,24.67,3,2026-02-04,False
S0307,Mouse15,WT,Thymus,Cd8a,21.19,1,2026-03-03,False
S0916,Mouse44,KO,Spleen,Cd8a,21.43,1,2026-03-11,False
S0007,Mouse1,KO,Spleen,Foxp3,26.95,1,2026-03-15,False
S1817,Mouse87,HET,Spleen,Cd4,18.98,2,2026-03-15,False
S0783,Mouse38,KO,Thymus,Ifng,21.74,3,2026-04-18,False
S0409,Mouse20,WT,Spleen,Cd4,19.42,1,2026-03-15,False
S1490,Mouse71,KO,Spleen,Gapdh,17.47,2,2026-09-03,False
S_782,Mouse38,KO,Thymus,Ifng,21.72,2,2026-04-18,False
S0167,Mouse8,WT,Thymus,Gapdh,18.53,2,2026-04-08,False
S0535,Mouse26,WT,Lymph Node,Cd4,20.7,1,2026-05-04,False
S0584,Mouse28,KO,Spleen,Tnfa,22.45,2,2026-03-28,False
S1588 ,Mouse76,KO,Thymus,Cd8a,20.43,1,2026-03-17,False
S1808 ,Mouse87,HET,Spleen,Il2,24.69,2,2026-03-15,False
S1381,Mouse66,KO,Thymus,Tnfa,22.25,1,2026-04-01,False
S1837,Mouse88,KO,Thymus,Cd4,18.9,1,2026-04-01,False
S1202,Mouse58,HET,Thymus,Ifng,,2,2026-04-19,False
S1797 ,Mouse86,WT,Spleen,Cd4,19.58,3,2026-03-18,False
S1791,Mouse86,WT,Spleen,Ifng,22.46,3,2026-03-18,False
s0998,Mouse48,WT,Lymph Node,Cd4,19.94,2,2026-05-04,False
s0814,Mouse39,KO,Spleen,Tnfa,23.14,1,2026-04-25,False
S0317,Mouse16,HET,Spleen,Il2,24.37,2,2026-05-04,False
S1839,Mouse88,KO,Thymus,Cd4,20.62,3,2026-04-01,False
S1638,Mouse78,WT,Spleen,Gapdh,17.84,3,2026-04-21,False
S0517,Mouse25,KO,Thymus,Cd8a,20.61,1,2026-03-21,False
S1569,Mouse75,HET,Spleen,Cd8a,20.82,3,2026-10-03,False
S1590 ,Mouse76,KO,Thymus,Cd8a,21.97,3,2026-03-17,False
S_1133,Mouse54,KO,Thymus,Gapdh,17.31,2,2026-04-28,False
S0534,Mouse26,WT,Lymph Node,Foxp3,25.91,3,2026-05-04,False
S0174,Mouse9,KO,Spleen,Ifng,21.98,3,2026-04-18,False
S1048,Mouse50,HET,Thymus,Gapdh,17.16,1,2026-03-15,False
S0272,Mouse13,WT,Thymus,Gapdh,17.26,2,2026-03-06,False
S_549,Mouse27,WT,Spleen,Il2,22.78,3,2026-04-14,False
S0669,Mouse32,WT,Lymph Node,Tnfa,22.86,3,2026-05-03,False
S1559,Mouse75,HET,Spleen,Ifng,22.05,2,2026-03-10,False
s0607,Mouse29,WT,Spleen,Gapdh,18.96,1,2026-04-28,False
S1615,Mouse77,KO,Lymph Node,Gapdh,18.5,1,2026-03-14,False
S1552,Mouse74,WT,Spleen,Gapdh,17.64,1,2026-04-27,False
S0805,Mouse39,KO,Spleen,Foxp3,26.95,1,2026-04-25,False
S0599,Mouse29,WT,Spleen,Cd4,20.07,2,2026-04-28,False
S0947,Mouse46,KO,Spleen,Il2,24.08,2,2026-03-21,False
S1527,Mouse73,WT,Lymph Node,Cd8a,21.21,3,2026-04-14,False
S1042,Mouse50,HET,Thymus,Cd8a,20.84,1,2026-03-15,False
S0752,Mouse36,KO,Spleen,Tnfa,23.58,2,2026-03-21,False
S0571,Mouse28,KO,Spleen,Ifng,22.5,1,2026-03-28,False
S0075,Mouse4,HET,Lymph Node,Cd4,20.06,3,2026-04-02,False
S0062,Mouse3,HET,Thymus,Gapdh,18.81,2,2026-04-03,False
S1885,Mouse90,KO,Thymus,Tnfa,23.38,1,2026-03-05,False
S_537,Mouse26,WT,Lymph Node,Cd4,20.2,3,2026-04-05,False
S1884,Mouse90,KO,Thymus,Cd8a,22.34,3,2026-03-05,False
S_1778,Mouse85,KO,Thymus,Cd8a,20.88,2,2026-04-03,False
S1788,Mouse86,WT,Spleen,Il2,22.89,3,2026-03-18,False
S0810,Mouse39,KO,Spleen,Cd4,19.45,3,2026-04-25,False
S0245,Mouse12,WT,Thymus,Cd8a,20.2,2,2026-04-03,False
s0026,Mouse2,WT,Spleen,Ifng,21.69,2,2026-04-02,False
S_1344,Mouse64,WT,Lymph Node,Gapdh,16.63,3,2026-04-07,False
S0956,Mouse46,KO,Spleen,Cd4,20.46,2,2026-03-21,False
S0223,Mouse11,KO,Lymph Node,Cd8a,20.56,1,2026-04-17,False
S1664,Mouse80,WT,Spleen,Ifng,22.75,2,2026-03-24,False
S0106,Mouse6,HET,Thymus,Il2,23.96,1,2026-03-22,False
S0674,Mouse33,HET,Spleen,Il2,24.7,2,2026-03-17,False
S0643,Mouse31,HET,Spleen,Cd8a,20.66,1,2026-06-03,False
S1209,Mouse58,HET,Thymus,Cd4,19.77,3,2026-04-19,False
S0666,Mouse32,WT,Lymph Node,Cd8a,21.29,3,2026-05-03,False
S0510,Mouse25,KO,Thymus,Ifng,22.03,3,2026-03-21,False
S0132,Mouse7,WT,Lymph Node,Ifng,21.45,3,2026-10-04,False
s1110,Mouse53,WT,Thymus,Tnfa,23.38,3,2026-03-30,False
S_1549,Mouse74,WT,Spleen,Tnfa,23.42,1,2026-04-27,False
S0445,Mouse22,WT,Spleen,Ifng,21.58,1,2026-03-03,False
S1026,Mouse49,HET,Thymus,Tnfa,22.6,3,2026-04-17,False
S0509,Mouse25,KO,Thymus,Ifng,21.02,2,2026-03-21,False
S0867,Mouse42,KO,Thymus,Ifng,22.35,3,2026-12-04,False
S1049,Mouse50,HET,Thymus,Gapdh,17.5,2,2026-03-15,False
S1670,Mouse80,WT,Spleen,Cd4,19.53,2,2026-03-24,False
S0076,Mouse4,HET,Lymph Node,Cd8a,19.81,1,2026-04-02,False
S0037,Mouse2,WT,Spleen,Tnfa,22.24,1,2026-04-02,False
S1685,Mouse81,WT,Spleen,Ifng,21.27,2,2026-03-20,False
S0058,Mouse3,HET,Thymus,Tnfa,,1,2026-03-04,True
S0197,Mouse10,WT,Spleen,Foxp3,25.17,2,2026-10-04,False
S1575,Mouse75,HET,Spleen,Gapdh,17.24,3,2026-10-03,False
S1764,Mouse84,KO,Spleen,Gapdh,,3,2026-04-02,True
S1398,Mouse67,KO,Lymph Node,Cd4,19.23,3,2026-04-06,False
S1075,Mouse52,KO,Spleen,Ifng,21.48,1,2026-04-17,False
S0322,Mouse16,HET,Spleen,Foxp3,25.59,1,2026-05-04,False
S1536,Mouse74,WT,Spleen,Il2,27.37,3,2026-04-27,False
S1568 ,Mouse75,HET,Spleen,Cd8a,22.6,2,2026-10-03,False
S0478,Mouse23,KO,Spleen,Tnfa,23.32,1,2026-04-29,False
S0087,Mouse5,KO,Lymph Node,Il2,27.56,3,2026-09-04,False
S1757,Mouse84,KO,Spleen,Cd8a,20.63,2,2026-04-02,False
S0562,Mouse27,WT,Spleen,Tnfa,23.69,1,2026-04-14,False
S0772,Mouse37,HET,Spleen,Tnfa,22.23,1,2026-03-03,False
S0335,Mouse16,HET,Spleen,Gapdh,18.69,2,2026-04-05,False
S1171,Mouse56,WT,Thymus,Tnfa,23.07,1,2026-04-04,False
S1314,Mouse63,KO,Spleen,Cd4,19.11,3,2026-04-12,False
S1874,Mouse90,KO,Thymus,Ifng,21.8,2,2026-05-03,False
S1150,Mouse55,KO,Spleen,Tnfa,22.63,1,2026-03-29,False
S0709,Mouse34,HET,Spleen,Tnfa,22.02,1,2026-08-04,False
S1222,Mouse59,WT,Thymus,Ifng,22.22,1,2026-03-24,False
S1478,Mouse71,KO,Spleen,Foxp3,29.86,2,2026-03-09,False
S_1268,Mouse61,KO,Spleen,Foxp3,29.69,2,2026-11-03,False
S1276,Mouse61,KO,Spleen,Tnfa,22.99,1,2026-03-11,False
S_1545,Mouse74,WT,Spleen,Cd4,18.94,3,2026-04-27,False
S0539,Mouse26,WT,Lymph Node,Cd8a,20.71,2,2026-04-05,False
S1123,Mouse54,KO,Thymus,Cd4,20.1,1,2026-04-28,False
S1364,Mouse65,WT,Spleen,Gapdh,18.05,2,2026-03-14,False
s1725,Mouse83,KO,Thymus,Il2,27.55,3,2026-03-23,False
S1474,Mouse71,KO,Spleen,Ifng,23.2,1,2026-09-03,False
S1376 ,Mouse66,KO,Thymus,Cd4,19.58,2,2026-04-01,False
S0419,Mouse20,WT,Spleen,Gapdh,18.59,2,2026-03-15,False
S1252,Mouse60,HET,Thymus,Cd8a,21.57,1,2026-03-01,False
S1780,Mouse85,KO,Thymus,Tnfa,23.16,1,2026-03-04,False
S1752,Mouse84,KO,Spleen,Foxp3,25.89,3,2026-04-02,False
S0574,Mouse28,KO,Spleen,Foxp3,29.21,1,2026-03-28,False
S1021,Mouse49,HET,Thymus,Cd8a,21.83,1,2026-04-17,False
S1616,Mouse77,KO,Lymph Node,Gapdh,17.74,2,2026-03-14,False
S0333,Mouse16,HET,Spleen,Tnfa,23.34,3,2026-04-05,False
S1500,Mouse72,KO,Thymus,Foxp3,26.16,3,2026-03-28,False
S0852,Mouse41,KO,Spleen,Cd4,19.56,3,2026-03-27,False
S0973,Mouse47,KO,Spleen,Foxp3,30.58,1,2026-04-18,False
S0811,Mouse39,KO,Spleen,Cd8a,20.4,1,2026-04-25,False
S0736,Mouse36,KO,Spleen,Il2,,1,2026-03-21,True
S0902,Mouse43,WT,Spleen,Gapdh,17.58,2,2026-04-27,False
S1738,Mouse83,KO,Thymus,Tnfa,21.9,1,2026-03-23,False
S0575,Mouse28,KO,Spleen,Foxp3,29.79,2,2026-03-28,False
S1636,Mouse78,WT,Spleen,Gapdh,17.85,1,2026-04-21,False
S1876,Mouse90,KO,Thymus,Foxp3,29.72,1,2026-05-03,False
S1641,Mouse79,WT,Thymus,Il2,23.52,3,2026-03-23,False
S1736,Mouse83,KO,Thymus,Cd8a,21.41,2,2026-03-23,False
S1882,Mouse90,KO,Thymus,Cd8a,21.09,1,2026-03-05,False
s1096,Mouse53,WT,Thymus,Ifng,22.98,1,2026-03-30,False
S1243,Mouse60,HET,Thymus,Ifng,22.73,1,2026-01-03,False
S1605,Mouse77,KO,Lymph Node,Foxp3,30.05,3,2026-03-14,False
S1491,Mouse71,KO,Spleen,Gapdh,17.49,3,2026-09-03,False
S0009,Mouse1,KO,Spleen,Foxp3,31.63,3,2026-03-15,False
S1086,Mouse52,KO,Spleen,Cd8a,22.2,3,2026-04-17,False
S1762 ,Mouse84,KO,Spleen,Gapdh,17.98,1,2026-02-04,False
S1639,Mouse79,WT,Thymus,Il2,25.08,1,2026-03-23,False
S1281,Mouse61,KO,Spleen,Gapdh,18.83,3,2026-11-03,False
S1702,Mouse82,KO,Thymus,Il2,27.95,1,2026-03-16,False
S0305,Mouse15,WT,Thymus,Cd4,20.41,2,2026-03-03,False
S1781,Mouse85,KO,Thymus,Tnfa,23.06,2,2026-04-03,False
S0336,Mouse16,HET,Spleen,Gapdh,,3,2026-05-04,True
S0996,Mouse48,WT,Lymph Node,Foxp3,26.68,3,2026-05-04,False
S0570,Mouse28,KO,Spleen,Il2,26.99,3,2026-03-28,False
S0089,Mouse5,KO,Lymph Node,Ifng,21.58,2,2026-09-04,False
S0875 ,Mouse42,KO,Thymus,Cd8a,,2,2026-04-12,False
S1850 ,Mouse89,WT,Spleen,Il2,23.87,2,2026-03-28,False
S1444,Mouse69,WT,Lymph Node,Tnfa,22.75,1,2026-02-04,False
S0713,Mouse34,HET,Spleen,Gapdh,17.72,2,2026-08-04,False
S1754,Mouse84,KO,Spleen,Cd4,,2,2026-04-02,True
S1313,Mouse63,KO,Spleen,Cd4,20.57,2,2026-04-12,False
S0222,Mouse11,KO,Lymph Node,Cd4,,3,2026-04-17,True
S0320,Mouse16,HET,Spleen,Ifng,21.46,2,2026-04-05,False
S1663,Mouse80,WT,Spleen,Ifng,21.09,1,2026-03-24,False
S_879,Mouse42,KO,Thymus,Tnfa,23.22,3,2026-04-12,False
S1708,Mouse82,KO,Thymus,Foxp3,,1,2026-03-16,True
S0826,Mouse40,WT,Spleen,Foxp3,27.47,1,2026-03-11,False
S1878,Mouse90,KO,Thymus,Foxp3,29.77,3,2026-03-05,False
S1391,Mouse67,KO,Lymph Node,Ifng,22.45,2,2026-06-04,False
S0139,Mouse7,WT,Lymph Node,Cd8a,21.63,1,2026-10-04,False
S0164,Mouse8,WT,Thymus,Tnfa,23.09,2,2026-04-08,False
s1688,Mouse81,WT,Spleen,Foxp3,26.39,2,2026-03-20,False
S1375,Mouse66,KO,Thymus,Cd4,20.17,1,2026-01-04,False
s0961,Mouse46,KO,Spleen,Tnfa,23.0,1,2026-03-21,False
S1367,Mouse66,KO,Thymus,Il2,27.02,2,2026-04-01,False
S1826,Mouse87,HET,Spleen,Gapdh,18.51,2,2026-03-15,False
S1627,Mouse78,WT,Spleen,Cd4,20.11,1,2026-04-21,False
S0634,Mouse31,HET,Spleen,Ifng,22.68,1,2026-03-06,False
S1128,Mouse54,KO,Thymus,Cd8a,,3,2026-04-28,True
S0656,Mouse32,WT,Lymph Node,Ifng,21.78,2,2026-03-05,False
S0017,Mouse1,KO,Spleen,Tnfa,22.74,2,2026-03-15,False
S1843,Mouse88,KO,Thymus,Tnfa,22.34,1,2026-04-01,False
S1170,Mouse56,WT,Thymus,Cd8a,20.74,3,2026-04-04,False
s0138,Mouse7,WT,Lymph Node,Cd4,20.33,3,2026-10-04,False
S1165,Mouse56,WT,Thymus,Cd4,19.99,1,2026-04-04,False
S0698,Mouse34,HET,Spleen,Ifng,22.66,2,2026-08-04,False
S1533,Mouse73,WT,Lymph Node,Gapdh,17.41,3,2026-04-14,False
s0449,Mouse22,WT,Spleen,Foxp3,26.37,2,2026-03-03,False
s1794,Mouse86,WT,Spleen,Foxp3,25.67,3,2026-03-18,False
S0328,Mouse16,HET,Spleen,Cd8a,20.66,1,2026-04-05,False
S_318,Mouse16,HET,Spleen,Il2,24.38,3,2026-05-04,False
s1450,Mouse70,HET,Lymph Node,Il2,23.63,1,2026-03-26,False
S0527,Mouse26,WT,Lymph Node,Il2,22.52,2,2026-05-04,False
S0088,Mouse5,KO,Lymph Node,Ifng,22.58,1,2026-04-09,False
S1389,Mouse67,KO,Lymph Node,Il2,28.37,3,2026-04-06,False
S0149,Mouse8,WT,Thymus,Il2,24.37,2,2026-04-08,False
S_1540,Mouse74,WT,Spleen,Foxp3,30.44,1,2026-04-27,False
S1821,Mouse87,HET,Spleen,Cd8a,19.82,3,2026-03-15,False
S1386,Mouse66,KO,Thymus,Gapdh,18.73,3,2026-01-04,False
S0366,Mouse18,KO,Spleen,Foxp3,26.47,3,2026-04-19,False
S0590,Mouse29,WT,Spleen,Il2,26.75,2,2026-04-28,False
S1434,Mouse69,WT,Lymph Node,Ifng,22.37,3,2026-02-04,False
S0199,Mouse10,WT,Spleen,Cd4,20.31,1,2026-04-10,False
S1795,Mouse86,WT,Spleen,Cd4,20.09,1,2026-03-18,False
S0193 ,Mouse10,WT,Spleen,Ifng,22.21,1,2026-10-04,False
S0405,Mouse20,WT,Spleen,Ifng,21.85,3,2026-03-15,False
S1494,Mouse72,KO,Thymus,Il2,23.18,3,2026-03-28,False
