Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date
S1169,M-56,WT,thymus,Cd8a,21.08,2,04-04-2026
S1727,M-83,KO,Thymus,Ifng,21.56,2,03-23-2026
S1747,Mouse84,KO,Spleen,Ifng,22.05,1,04-02-2026
s1733,M-83,KO,Thymus,Cd4,Undetermined,2,23.03.2026
S_818,M-39,ko,spleen,Gapdh,17.87,2,25.04.2026
S0337,Mouse 17,WT,spleen,Il2,27.1,1,03-10-2026
S0233,Mouse12,WT ,thymus,Il2,23.52,2,2026.04.03
S0900,Mouse43,WT,Spleen,Tnfa,22.38,3,27.04.2026
S1351,mouse_65,WT,spleen,Foxp3,25.95,1,14/03/2026
S0159,mouse_8,WT,thymus,Cd4,20.46,3,2026.04.08
s0469,Mouse 23,ko,spleen,Foxp3,25.61,1,29/04/2026
S1166,M-56,WT,thymus,Cd4,20.33,2,04-04-2026
S1484 ,mouse_71,KO,spleen,Cd8a,20.73,2,2026.03.09
s1556,mouse_75,Het,Spleen,Il2,24.34,2,2026.03.10
S1698 ,Mouse81,WT,Spleen,TNFA,22.43,3,2026.03.20
S0586,Mouse28,KO,Spleen,GAPDH,Undetermined,1,28/03/2026
S0206,M-10,wt,Spleen,Tnfa,23.39,2,2026.04.10
S0004,mouse_1,ko,Spleen,Ifng,22.91,1,15/03/2026
S0790,Mouse 38,KO,Thymus,Cd8a,20.74,1,18/04/2026
S0880,mouse_42,KO,Thymus,GAPDH,17.76,1,04-12-2026
S1071,Mouse51,HET,spleen,GAPDH,17.92,3,29/04/2026
S_1750,Mouse84,KO,Spleen,Foxp3,25.49,1,04-02-2026
S1160,M-56,WT,thymus,Ifng,29.96,2,04/04/2026
S0985,M-47,KO,spleen,GAPDH,18.63,1,2026.04.18
S0694 ,Mouse 34,HET,spleen,Il2,Undetermined,1,08/04/2026
S1589,Mouse76,KO ,thymus,Cd8a,,2,2026.03.17
S1570,mouse_75,Het,Spleen,TNFA,23.09,1,03-10-2026
S0715,M-35,KO,Lymph Node,Il2,28.47,1,30.03.2026
S1769,mouse_85,KO,Thymus,Ifng,22.05,2,2026.04.03
S1076,mouse_52,KO,Spleen,Ifng,22.24,2,17/04/2026
s1848,M-88,KO,thymus,Gapdh,18.84,3,04-01-2026
S1355,mouse_65,WT,spleen,CD4,20.17,2,14/03/2026
S0986,M-47,KO,spleen,Gapdh,17.68,2,18/04/2026
S1126,Mouse 54,KO,thymus,CD8A,21.92,1,04-28-2026
S1424,Mouse68,Het,thymus,Tnfa,23.35,2,04-20-2026
S1740,M-83,KO,Thymus,Tnfa,23.82,3,03-23-2026
S0158,mouse_8,WT,thymus,Cd4,19.32,2,08/04/2026
S0977 ,M-47,KO,spleen,Cd4,20.84,2,04-18-2026
S_524,mouse_25,KO,thymus,Gapdh,17.32,2,21/03/2026
s0463,Mouse 23,ko,spleen,Il2,23.92,1,29.04.2026
S0653 ,M-32,WT,Lymph Node,IL2,24.75,2,05.03.2026
S0161,mouse_8,WT,thymus,Cd8a,21.25,2,04-08-2026
S0306,Mouse 15,WT ,thymus,Cd4,19.81,3,03/03/2026
S0657,M-32,WT,Lymph Node,Ifng,21.16,3,03-05-2026
S0548,M-27,WT,spleen,Il2,23.76,2,2026.04.14
S0714,Mouse 34,HET,spleen,Gapdh,18.32,3,2026.04.08
S0396,Mouse 19,KO,Lymph Node,Tnfa,23.77,3,2026.03.11
S0784,Mouse 38,KO,Thymus,Foxp3,29.31,1,18.04.2026
S0400,mouse_20,WT,spleen,Il2,,1,15/03/2026
S0799,M-39,ko,spleen,Il2,23.69,1,04-25-2026
s0619,Mouse30,Het,Spleen,Cd4,20.49,1,03-10-2026
s1744,Mouse84,KO,Spleen,Il2,24.79,1,04-02-2026
S0954,M-46,KO ,Spleen,Foxp3,24.55,3,03-21-2026
S1307,mouse_63,KO,spleen,Ifng,21.77,2,2026.04.12
S0737,Mouse36,KO,Spleen,Il2,26.98,2,21/03/2026
S_1019,Mouse49,Het,thymus,Cd4,20.32,2,2026.04.17
S1592,Mouse76,KO ,thymus,Tnfa,22.85,2,2026.03.17
S1039,Mouse 50,Het,Thymus,Cd4,20.66,1,03-15-2026
S0460,Mouse 22,wt,spleen,Gapdh,18.19,1,2026.03.03
S0063,Mouse 3,Het,Thymus,Gapdh,17.96,3,03-04-2026
S1012,Mouse49,Het,thymus,Ifng,23.2,1,2026.04.17
S0868,mouse_42,KO,Thymus,Foxp3,26.67,1,12/04/2026
S0458,Mouse 22,wt,spleen,Tnfa,22.85,2,03.03.2026
S1278,mouse_61,ko,spleen,Tnfa,23.28,3,03-11-2026
S0479 ,Mouse 23,ko,spleen,Tnfa,22.38,2,2026.04.29
S0987,M-47,KO,spleen,Gapdh,18.79,3,18/04/2026
S1410,Mouse68,Het,thymus,Il2,24.16,3,04-20-2026
S0791,Mouse 38,KO,Thymus,CD8A,21.87,2,18/04/2026
S0618,Mouse30,Het,Spleen,Foxp3,25.01,3,2026.03.10
S_1761,Mouse84,KO,Spleen,Tnfa,22.63,3,02/04/2026
S0978,M-47,KO,spleen,CD4,20.55,3,18/04/2026
S1873,mouse_90,KO,Thymus,Ifng,22.42,1,05/03/2026
s1088,mouse_52,KO,Spleen,Tnfa,23.18,2,04-17-2026
S1543,Mouse74,WT,Spleen,Cd4,Undetermined,1,2026.04.27
S0348,Mouse 17,WT,spleen,Cd4,20.05,3,10/03/2026
S1643,mouse_79,WT,thymus,Ifng,22.16,2,03-23-2026
S1140,Mouse55,KO ,spleen,Ifng,22.35,3,29.03.2026
S1421,Mouse68,Het,thymus,Cd8a,20.94,2,2026.04.20
S0761,Mouse 37,Het,Spleen,IFNG,22.23,2,03/03/2026
S0447,Mouse 22,wt,spleen,Ifng,21.93,3,2026.03.03
S0651,M-31,HET,Spleen,GAPDH,,3,03-06-2026
s1517,Mouse73,WT,Lymph Node,Ifng,21.88,2,14/04/2026
S1705,mouse_82,KO,Thymus,Ifng,22.53,1,16.03.2026
S0380,Mouse 19,KO,Lymph Node,Il2,28.31,2,2026.03.11
S_565,M-27,WT,spleen,Gapdh,18.38,1,04-14-2026
S1652,mouse_79,WT,thymus,Cd8a,19.66,2,2026.03.23
S0982,M-47,KO,spleen,Tnfa,23.24,1,18/04/2026
S1818,Mouse87,Het,spleen,Cd4,19.61,3,15.03.2026
S0862,mouse_42,KO,Thymus,Il2,24.63,1,12.04.2026
S0232,Mouse12,WT ,thymus,Il2,24.51,1,03/04/2026
S1153,Mouse55,KO ,spleen,Gapdh,18.91,1,29.03.2026
S0383,Mouse 19,KO,Lymph Node,Ifng,21.04,2,03-11-2026
S1118,Mouse 54,KO,thymus,Ifng,22.93,2,04-28-2026
s1815,Mouse87,Het,spleen,Foxp3,26.04,3,15/03/2026
S0073,Mouse 4,Het,Lymph Node,Cd4,Undetermined,1,02.04.2026
S0071,Mouse 4,Het,Lymph Node,Foxp3,24.43,2,04-02-2026
S1579,Mouse76,KO ,thymus,IFNG,Undetermined,1,2026.03.17
S0926,mouse_45,ko,thymus,Il2,27.65,2,03-15-2026
S0172,Mouse 9,KO ,spleen,Ifng,22.06,1,18/04/2026
S_1403,Mouse67,KO,Lymph Node,Tnfa,22.71,2,04-06-2026
s0169,Mouse 9,KO ,spleen,Il2,24.73,1,2026.04.18
S0494,Mouse24,WT,thymus,Cd4,19.97,2,29/04/2026
S1191 ,M-57,WT,Thymus,CD8A,21.38,3,13.04.2026
S_929,mouse_45,ko,thymus,Ifng,21.25,2,03-15-2026
S1674,Mouse 80,WT,spleen,Cd8a,21.31,3,24/03/2026
S0273,mouse_13,WT,Thymus,Gapdh,19.28,3,2026.03.06
S1233,M-59,WT,Thymus,Cd8a,21.1,3,24/03/2026
S0421,Mouse 21,WT ,thymus,Il2,23.99,1,10.03.2026
S0095,M-5,KO,Lymph Node,Cd4,20.0,2,09/04/2026
S1595,Mouse76,KO ,thymus,Gapdh,18.53,2,2026.03.17
S1503,Mouse72,ko,Thymus,Cd4,20.72,3,2026.03.28
S1514,Mouse73,WT,Lymph Node,Il2,23.88,2,04-14-2026
s0043,Mouse 3,Het,Thymus,Il2,23.39,1,03-04-2026
S0057,Mouse 3,Het,Thymus,Cd8a,20.1,3,04/03/2026
S1633,Mouse78,wt,spleen,Tnfa,23.69,1,04-21-2026
S1073,mouse_52,KO,Spleen,Il2,26.24,2,17.04.2026
S1115,Mouse 54,KO,thymus,Il2,26.73,2,28.04.2026
S1226,M-59,WT,Thymus,FOXP3,Undetermined,2,24/03/2026
s1334,Mouse 64,WT,Lymph Node,Cd4,19.98,2,04-07-2026
S0039,Mouse 2,WT,Spleen,Tnfa,24.67,3,04-02-2026
S0307,Mouse 15,WT ,thymus,CD8A,21.19,1,2026.03.03
S0916,Mouse44,KO,spleen,Cd8a,21.43,1,11/03/2026
S0007,mouse_1,ko,Spleen,Foxp3,26.95,1,2026.03.15
S1817,Mouse87,Het,spleen,Cd4,18.98,2,2026.03.15
S0783,Mouse 38,KO,Thymus,Ifng,21.74,3,18/04/2026
S0409,mouse_20,WT,spleen,Cd4,19.42,1,15.03.2026
S1490,mouse_71,KO,spleen,Gapdh,17.47,2,2026.03.09
S_782,Mouse 38,KO,Thymus,IFNG,21.72,2,04-18-2026
S0167,mouse_8,WT,thymus,Gapdh,18.53,2,08.04.2026
S0535,Mouse 26,WT ,Lymph Node,CD4,20.7,1,04-05-2026
S0584,Mouse28,KO,Spleen,Tnfa,22.45,2,2026.03.28
S1588 ,Mouse76,KO ,thymus,Cd8a,20.43,1,17.03.2026
S1808 ,Mouse87,Het,spleen,Il2,24.69,2,03-15-2026
S1381,M-66,KO,thymus,Tnfa,22.25,1,01.04.2026
S1837,M-88,KO,thymus,Cd4,18.9,1,01.04.2026
S1202,mouse_58,Het,thymus,Ifng,,2,04-19-2026
S1797 ,mouse_86,WT,spleen,Cd4,19.58,3,18/03/2026
S1791,mouse_86,WT,spleen,Ifng,22.46,3,18.03.2026
s0998,M-48,WT,Lymph Node,Cd4,19.94,2,04-05-2026
s0814,M-39,ko,spleen,Tnfa,23.14,1,25/04/2026
S0317,Mouse16,Het,spleen,IL2,24.37,2,2026.04.05
S1839,M-88,KO,thymus,Cd4,20.62,3,01/04/2026
S1638,Mouse78,wt,spleen,Gapdh,17.84,3,04-21-2026
S0517,mouse_25,KO,thymus,Cd8a,20.61,1,21/03/2026
S1569,mouse_75,Het,Spleen,Cd8a,20.82,3,2026.03.10
S1590 ,Mouse76,KO ,thymus,Cd8a,21.97,3,2026.03.17
S_1133,Mouse 54,KO,thymus,Gapdh,17.31,2,2026.04.28
S0534,Mouse 26,WT ,Lymph Node,Foxp3,25.91,3,04-05-2026
S0174,Mouse 9,KO ,spleen,Ifng,21.98,3,18.04.2026
S1048,Mouse 50,Het,Thymus,GAPDH,17.16,1,15.03.2026
S0272,mouse_13,WT,Thymus,Gapdh,17.26,2,06.03.2026
S_549,M-27,WT,spleen,Il2,22.78,3,2026.04.14
S0669,M-32,WT,Lymph Node,Tnfa,22.86,3,2026.03.05
S1559,mouse_75,Het,Spleen,Ifng,22.05,2,10.03.2026
S0454 ,Mouse 22,wt,spleen,Cd8a,19.62,1,03/03/2026
s0607,mouse_29,wt,spleen,Gapdh,18.96,1,2026.04.28
S1615,Mouse 77,KO ,Lymph Node,Gapdh,18.5,1,2026.03.14
S1552,Mouse74,WT,Spleen,GAPDH,17.64,1,27.04.2026
S0805,M-39,ko,spleen,Foxp3,26.95,1,04-25-2026
S0599,mouse_29,wt,spleen,Cd4,20.07,2,04-28-2026
S0947,M-46,KO ,Spleen,Il2,24.08,2,2026.03.21
S1527,Mouse73,WT,Lymph Node,Cd8a,21.21,3,04-14-2026
S1042,Mouse 50,Het,Thymus,Cd8a,20.84,1,2026.03.15
S0752,Mouse36,KO,Spleen,Tnfa,23.58,2,21/03/2026
S0571,Mouse28,KO,Spleen,Ifng,22.5,1,28/03/2026
S0075,Mouse 4,Het,Lymph Node,Cd4,20.06,3,02/04/2026
S0062,Mouse 3,Het,Thymus,GAPDH,18.81,2,03-04-2026
S1885,mouse_90,KO,Thymus,TNFA,23.38,1,05/03/2026
S_537,Mouse 26,WT ,Lymph Node,Cd4,20.2,3,05.04.2026
S1884,mouse_90,KO,Thymus,Cd8a,22.34,3,05.03.2026
S_1778,mouse_85,KO,Thymus,Cd8a,20.88,2,03/04/2026
S1788,mouse_86,WT,spleen,Il2,22.89,3,2026.03.18
S0810,M-39,ko,spleen,Cd4,19.45,3,2026.04.25
S0245,Mouse12,WT ,thymus,Cd8a,20.2,2,03.04.2026
s0026,Mouse 2,WT,Spleen,Ifng,21.69,2,02.04.2026
S_1344,Mouse 64,WT,Lymph Node,Gapdh,16.63,3,07/04/2026
S0956,M-46,KO ,Spleen,Cd4,20.46,2,2026.03.21
S0223,M-11,KO,Lymph Node,CD8A,20.56,1,2026.04.17
S1664,Mouse 80,WT,spleen,Ifng,22.75,2,03-24-2026
S0106,Mouse 6,Het,thymus,Il2,23.96,1,22/03/2026
S0674,M-33,Het,spleen,Il2,24.7,2,2026.03.17
S0643,M-31,HET,Spleen,Cd8a,20.66,1,03-06-2026
S1209,mouse_58,Het,thymus,Cd4,19.77,3,19.04.2026
S0666,M-32,WT,Lymph Node,Cd8a,21.29,3,03-05-2026
S0510,mouse_25,KO,thymus,Ifng,22.03,3,21.03.2026
S0132,Mouse 7,WT,Lymph Node,Ifng,21.45,3,2026.04.10
s1110,Mouse 53,WT,thymus,Tnfa,23.38,3,2026.03.30
S_1549,Mouse74,WT,Spleen,Tnfa,23.42,1,04-27-2026
S0445,Mouse 22,wt,spleen,Ifng,21.58,1,03-03-2026
S1026,Mouse49,Het,thymus,Tnfa,22.6,3,17/04/2026
S0509,mouse_25,KO,thymus,Ifng,21.02,2,21/03/2026
S0867,mouse_42,KO,Thymus,Ifng,22.35,3,2026.04.12
S1049,Mouse 50,Het,Thymus,Gapdh,17.5,2,15/03/2026
S1670,Mouse 80,WT,spleen,CD4,19.53,2,03-24-2026
S1853,Mouse89,WT ,spleen,Ifng,22.58,2,28.03.2026
S0076,Mouse 4,Het,Lymph Node,Cd8a,19.81,1,02.04.2026
S0037,Mouse 2,WT,Spleen,TNFA,22.24,1,02/04/2026
S1685,Mouse81,WT,Spleen,Ifng,21.27,2,20.03.2026
S0058,Mouse 3,Het,Thymus,Tnfa,Undetermined,1,04/03/2026
S0197,M-10,wt,Spleen,Foxp3,25.17,2,2026.04.10
S1575,mouse_75,Het,Spleen,Gapdh,17.24,3,03-10-2026
S1764,Mouse84,KO,Spleen,Gapdh,Undetermined,3,02.04.2026
S1398,Mouse67,KO,Lymph Node,Cd4,19.23,3,06.04.2026
S1075,mouse_52,KO,Spleen,Ifng,21.48,1,17/04/2026
S0322,Mouse16,Het,spleen,FOXP3,25.59,1,2026.04.05
S1536,Mouse74,WT,Spleen,Il2,27.37,3,2026.04.27
S1568 ,mouse_75,Het,Spleen,Cd8a,22.6,2,2026.03.10
S0478,Mouse 23,ko,spleen,Tnfa,23.32,1,29/04/2026
S0087,M-5,KO,Lymph Node,Il2,27.56,3,04-09-2026
S1757,Mouse84,KO,Spleen,CD8A,20.63,2,02.04.2026
S0562,M-27,WT,spleen,Tnfa,23.69,1,14/04/2026
S0772,Mouse 37,Het,Spleen,Tnfa,22.23,1,03.03.2026
S0335,Mouse16,Het,spleen,GAPDH,18.69,2,05.04.2026
S1171,M-56,WT,thymus,Tnfa,23.07,1,04.04.2026
S1314,mouse_63,KO,spleen,Cd4,19.11,3,12/04/2026
S1874,mouse_90,KO,Thymus,Ifng,21.8,2,03-05-2026
S1150,Mouse55,KO ,spleen,Tnfa,22.63,1,29.03.2026
S0709,Mouse 34,HET,spleen,Tnfa,22.02,1,2026.04.08
S1222,M-59,WT,Thymus,Ifng,22.22,1,03-24-2026
S1478,mouse_71,KO,spleen,Foxp3,29.86,2,09.03.2026
S_1268,mouse_61,ko,spleen,Foxp3,29.69,2,2026.03.11
S1276,mouse_61,ko,spleen,Tnfa,22.99,1,11/03/2026
S_1545,Mouse74,WT,Spleen,Cd4,18.94,3,27/04/2026
S0539,Mouse 26,WT ,Lymph Node,Cd8a,20.71,2,05.04.2026
S1123,Mouse 54,KO,thymus,Cd4,20.1,1,04-28-2026
S1364,mouse_65,WT,spleen,Gapdh,18.05,2,2026.03.14
s1725,M-83,KO,Thymus,Il2,27.55,3,23.03.2026
S1474,mouse_71,KO,spleen,Ifng,23.2,1,2026.03.09
S1376 ,M-66,KO,thymus,Cd4,19.58,2,01.04.2026
S0419,mouse_20,WT,spleen,Gapdh,18.59,2,2026.03.15
S1252,Mouse60,HET,Thymus,Cd8a,21.57,1,01.03.2026
S1780,mouse_85,KO,Thymus,Tnfa,23.16,1,2026.04.03
S1752,Mouse84,KO,Spleen,Foxp3,25.89,3,02/04/2026
S0574,Mouse28,KO,Spleen,Foxp3,29.21,1,03-28-2026
S1021,Mouse49,Het,thymus,Cd8a,21.83,1,2026.04.17
S1616,Mouse 77,KO ,Lymph Node,GAPDH,17.74,2,14/03/2026
S0333,Mouse16,Het,spleen,Tnfa,23.34,3,05/04/2026
S1500,Mouse72,ko,Thymus,Foxp3,26.16,3,03-28-2026
S0852,mouse_41,KO ,Spleen,Cd4,19.56,3,03-27-2026
S0973,M-47,KO,spleen,Foxp3,30.58,1,2026.04.18
S0811,M-39,ko,spleen,CD8A,20.4,1,04-25-2026
S0736,Mouse36,KO,Spleen,Il2,Undetermined,1,03-21-2026
S0902,Mouse43,WT,Spleen,Gapdh,17.58,2,27.04.2026
S1738,M-83,KO,Thymus,Tnfa,21.9,1,2026.03.23
S0575,Mouse28,KO,Spleen,Foxp3,29.79,2,03-28-2026
S1636,Mouse78,wt,spleen,Gapdh,17.85,1,2026.04.21
S1876,mouse_90,KO,Thymus,Foxp3,29.72,1,03-05-2026
S1641,mouse_79,WT,thymus,Il2,23.52,3,2026.03.23
S1736,M-83,KO,Thymus,Cd8a,21.41,2,2026.03.23
S1882,mouse_90,KO,Thymus,Cd8a,21.09,1,05/03/2026
s1096,Mouse 53,WT,thymus,IFNG,22.98,1,03-30-2026
S1243,Mouse60,HET,Thymus,Ifng,22.73,1,03-01-2026
S1605,Mouse 77,KO ,Lymph Node,Foxp3,30.05,3,2026.03.14
S1491,mouse_71,KO,spleen,Gapdh,17.49,3,03-09-2026
S0009,mouse_1,ko,Spleen,Foxp3,31.63,3,2026.03.15
S1086,mouse_52,KO,Spleen,Cd8a,22.2,3,04-17-2026
S1762 ,Mouse84,KO,Spleen,Gapdh,17.98,1,04-02-2026
S1639,mouse_79,WT,thymus,Il2,25.08,1,2026.03.23
S1281,mouse_61,ko,spleen,Gapdh,18.83,3,2026.03.11
S1702,mouse_82,KO,Thymus,Il2,27.95,1,03-16-2026
S0305,Mouse 15,WT ,thymus,Cd4,20.41,2,2026.03.03
S1781,mouse_85,KO,Thymus,Tnfa,23.06,2,03.04.2026
S0336,Mouse16,Het,spleen,GAPDH,Undetermined,3,2026.04.05
S0996,M-48,WT,Lymph Node,Foxp3,26.68,3,04-05-2026
S0570,Mouse28,KO,Spleen,Il2,26.99,3,28.03.2026
S0089,M-5,KO,Lymph Node,Ifng,21.58,2,2026.04.09
S0875 ,mouse_42,KO,Thymus,Cd8a,,2,12/04/2026
S1850 ,Mouse89,WT ,spleen,IL2,23.87,2,03-28-2026
S1444,Mouse69,WT,Lymph Node,Tnfa,22.75,1,04-02-2026
S0713,Mouse 34,HET,spleen,GAPDH,17.72,2,04-08-2026
S1754,Mouse84,KO,Spleen,Cd4,Undetermined,2,02.04.2026
S1313,mouse_63,KO,spleen,Cd4,20.57,2,12.04.2026
S0222,M-11,KO,Lymph Node,Cd4,Undetermined,3,04-17-2026
S0320,Mouse16,Het,spleen,Ifng,21.46,2,05.04.2026
S1663,Mouse 80,WT,spleen,Ifng,21.09,1,03-24-2026
S_879,mouse_42,KO,Thymus,Tnfa,23.22,3,12.04.2026
S1708,mouse_82,KO,Thymus,Foxp3,Undetermined,1,03-16-2026
S0826,Mouse 40,WT,spleen,Foxp3,27.47,1,11/03/2026
S1878,mouse_90,KO,Thymus,Foxp3,29.77,3,05/03/2026
S1391,Mouse67,KO,Lymph Node,Ifng,22.45,2,04-06-2026
S0139,Mouse 7,WT,Lymph Node,Cd8a,21.63,1,04-10-2026
S0164,mouse_8,WT,thymus,Tnfa,23.09,2,08/04/2026
s1688,Mouse81,WT,Spleen,Foxp3,26.39,2,20/03/2026
S1375,M-66,KO,thymus,Cd4,20.17,1,2026.04.01
s0961,M-46,KO ,Spleen,Tnfa,23.0,1,2026.03.21
S1367,M-66,KO,thymus,Il2,27.02,2,01/04/2026
S1826,Mouse87,Het,spleen,GAPDH,18.51,2,2026.03.15
S1627,Mouse78,wt,spleen,Cd4,20.11,1,21/04/2026
S0634,M-31,HET,Spleen,Ifng,22.68,1,06.03.2026
S1128,Mouse 54,KO,thymus,Cd8a,Undetermined,3,28/04/2026
S0656,M-32,WT,Lymph Node,Ifng,21.78,2,05.03.2026
S0017,mouse_1,ko,Spleen,Tnfa,22.74,2,15/03/2026
S1843,M-88,KO,thymus,Tnfa,22.34,1,01/04/2026
S1170,M-56,WT,thymus,Cd8a,20.74,3,04.04.2026
s0138,Mouse 7,WT,Lymph Node,Cd4,20.33,3,2026.04.10
S1165,M-56,WT,thymus,Cd4,19.99,1,04.04.2026
S0698,Mouse 34,HET,spleen,Ifng,22.66,2,04-08-2026
S1533,Mouse73,WT,Lymph Node,Gapdh,17.41,3,04-14-2026
s0449,Mouse 22,wt,spleen,Foxp3,26.37,2,03.03.2026
s1794,mouse_86,WT,spleen,Foxp3,25.67,3,03-18-2026
S0328,Mouse16,Het,spleen,Cd8a,20.66,1,05.04.2026
S_318,Mouse16,Het,spleen,Il2,24.38,3,04-05-2026
s1450,M-70,Het,Lymph Node,Il2,23.63,1,2026.03.26
S0527,Mouse 26,WT ,Lymph Node,Il2,22.52,2,04-05-2026
S0088,M-5,KO,Lymph Node,Ifng,22.58,1,09/04/2026
S1389,Mouse67,KO,Lymph Node,Il2,28.37,3,06.04.2026
S0149,mouse_8,WT,thymus,Il2,24.37,2,08/04/2026
S_1540,Mouse74,WT,Spleen,Foxp3,30.44,1,27.04.2026
S1821,Mouse87,Het,spleen,Cd8a,19.82,3,03-15-2026
S1386,M-66,KO,thymus,Gapdh,18.73,3,2026.04.01
S0366,Mouse 18,ko,Spleen,Foxp3,26.47,3,19.04.2026
S0590,mouse_29,wt,spleen,Il2,26.75,2,04-28-2026
S1434,Mouse69,WT,Lymph Node,Ifng,22.37,3,2026.04.02
S0199,M-10,wt,Spleen,Cd4,20.31,1,10.04.2026
S1795,mouse_86,WT,spleen,Cd4,20.09,1,18/03/2026
S0193 ,M-10,wt,Spleen,Ifng,22.21,1,04-10-2026
S0405,mouse_20,WT,spleen,Ifng,21.85,3,03-15-2026
S1494,Mouse72,ko,Thymus,Il2,23.18,3,28.03.2026
S1879,mouse_90,KO,Thymus,Cd4,19.06,1,05/03/2026
S0484,Mouse24,WT,thymus,Il2,25.15,1,29.04.2026
S1385,M-66,KO,thymus,Gapdh,18.39,2,01.04.2026
S0792,Mouse 38,KO,Thymus,Cd8a,21.12,3,04-18-2026
S0800,M-39,ko,spleen,Il2,24.85,2,04-25-2026
S0385,Mouse 19,KO,Lymph Node,Foxp3,29.5,1,11/03/2026
S0751,Mouse36,KO,Spleen,Tnfa,23.38,1,2026.03.21
S0423,Mouse 21,WT ,thymus,Il2,23.83,3,10.03.2026
S0315,Mouse 15,WT ,thymus,GAPDH,18.69,3,03/03/2026
S1022,Mouse49,Het,thymus,Cd8a,21.47,2,17/04/2026
S0544 ,Mouse 26,WT ,Lymph Node,Gapdh,19.25,1,05/04/2026
S0914,Mouse44,KO,spleen,Cd4,19.7,2,2026.03.11
S0663 ,M-32,WT,Lymph Node,CD4,20.43,3,05.03.2026
S0903,Mouse43,WT,Spleen,Gapdh,Undetermined,3,2026.04.27
S1439 ,Mouse69,WT,Lymph Node,Cd4,19.85,2,02.04.2026
s0686,M-33,Het,spleen,Cd8a,20.15,2,03-17-2026
S1593,Mouse76,KO ,thymus,Tnfa,,3,2026.03.17
S0160,mouse_8,WT,thymus,Cd8a,Undetermined,1,08/04/2026
S1000,M-48,WT,Lymph Node,Cd8a,Undetermined,1,05.04.2026
S1237 ,M-59,WT,Thymus,GAPDH,17.56,1,03-24-2026
S1684,Mouse81,WT,Spleen,Ifng,22.4,1,20.03.2026
S0203,M-10,wt,Spleen,Cd8a,21.34,2,2026.04.10
S1024,Mouse49,Het,thymus,TNFA,32.13,1,2026.04.17
S1454,M-70,Het,Lymph Node,Ifng,22.39,2,26.03.2026
S_1129,Mouse 54,KO,thymus,Tnfa,23.04,1,28/04/2026
S0113,Mouse 6,Het,thymus,Foxp3,25.98,2,22/03/2026
S1714,mouse_82,KO,Thymus,Cd8a,20.82,1,03-16-2026
S0981,M-47,KO,spleen,Cd8a,21.42,3,04-18-2026
S0923,Mouse44,KO,spleen,Gapdh,17.08,2,11/03/2026
s1495,Mouse72,ko,Thymus,IFNG,22.11,1,28/03/2026
S1857,Mouse89,WT ,spleen,Foxp3,25.98,3,28.03.2026
S1348,mouse_65,WT,spleen,Ifng,21.33,1,03-14-2026
S1582,Mouse76,KO ,thymus,Foxp3,29.54,1,2026.03.17
s0816,M-39,ko,spleen,Tnfa,,3,2026.04.25
S1298,Mouse62,Het,Lymph Node,TNFA,23.36,2,03-04-2026
S1228,M-59,WT,Thymus,Cd4,19.97,1,03-24-2026
S_680,M-33,Het,spleen,Foxp3,,2,17/03/2026
S1094,Mouse 53,WT,thymus,IL2,,2,30/03/2026
S_81,Mouse 4,Het,Lymph Node,Tnfa,22.51,3,02/04/2026
s1668,Mouse 80,WT,spleen,Foxp3,26.08,3,2026.03.24
S1279,mouse_61,ko,spleen,Gapdh,17.98,1,11.03.2026
S1560,mouse_75,Het,Spleen,IFNG,Undetermined,3,10.03.2026
S0753,Mouse36,KO,Spleen,Tnfa,23.37,3,2026.03.21
S1717,mouse_82,KO,Thymus,Tnfa,23.63,1,2026.03.16
S_1055,Mouse51,HET,spleen,Ifng,22.22,2,29.04.2026
S0243,Mouse12,WT ,thymus,CD4,20.23,3,2026.04.03
S1277,mouse_61,ko,spleen,Tnfa,23.65,2,2026.03.11
S0642,M-31,HET,Spleen,CD4,19.91,3,2026.03.06
S0697,Mouse 34,HET,spleen,Ifng,21.98,1,08.04.2026
S0210,M-10,wt,Spleen,Gapdh,17.86,3,2026.04.10
S1249,Mouse60,HET,Thymus,Cd4,20.08,1,01/03/2026
S0771,Mouse 37,Het,Spleen,Cd8a,21.16,3,03-03-2026
S1662,Mouse 80,WT,spleen,Il2,24.75,3,03-24-2026
S0436 ,Mouse 21,WT ,thymus,Tnfa,23.3,1,03-10-2026
S1064,Mouse51,HET,spleen,Cd8a,20.38,2,29.04.2026
S0975 ,M-47,KO,spleen,Foxp3,,3,04-18-2026
s0552,M-27,WT,spleen,Ifng,21.79,3,04-14-2026
S1530,Mouse73,WT,Lymph Node,TNFA,22.66,3,14.04.2026
S1335,Mouse 64,WT,Lymph Node,Cd4,18.82,3,07/04/2026
S_1014,Mouse49,Het,thymus,Ifng,23.07,3,2026.04.17
S1790,mouse_86,WT,spleen,Ifng,21.89,2,18.03.2026
S0467,Mouse 23,ko,spleen,Ifng,21.55,2,29/04/2026
s1400,Mouse67,KO,Lymph Node,Cd8a,19.83,2,2026.04.06
S1242,Mouse60,HET,Thymus,Il2,23.81,3,01.03.2026
S0278,Mouse 14,HET,Thymus,Ifng,21.63,2,2026.03.31
S1070,Mouse51,HET,spleen,Gapdh,18.27,2,04-29-2026
S1018,Mouse49,Het,thymus,Cd4,20.11,1,04-17-2026
